file,time,word,phoneme, duration, F1,F2
AlexanderPride,2.1612874126909483,heed,FLEECE,0.1461608707288624,283.79337460330936,2268.0247894770337
AlexanderPride,3.793201383374358,bead,FLEECE,0.32291701456620325,334.65571148786984,2201.3037744760586
AlexanderPride,5.732305632848255,bean,FLEECE,0.2909182224983997,373.9393273383001,2220.026598874911
AlexanderPride,7.526956365772077,seen,FLEECE,0.25183640883590996,382.2636727269728,2149.8380233025146
AlexanderPride,9.000111806159055,hid,KIT,0.08874390999112158,478.8019238947494,1706.5260072910849
AlexanderPride,10.422221712672519,bid,KIT,0.14241155032961572,542.0225879895859,1654.254501738216
AlexanderPride,12.20712730864006,bin,KIT,0.13541355446603554,550.5316512101086,1654.1378264355421
AlexanderPride,14.121749343052606,sin,KIT,0.14878667314058625,596.6402906636832,1626.5491792137063
AlexanderPride,15.868321117596055,head,DRESS,0.13633179117071492,432.25119815721513,2094.6172961679345
AlexanderPride,17.34793686126873,bed,DRESS,0.18345883009392594,430.1306127294529,2060.257101246744
AlexanderPride,18.789484830316812,ben,DRESS,0.20028991542364238,433.9881383675682,2067.374440700483
AlexanderPride,20.374384173914034,ten,DRESS,0.15147976796745866,378.8697667891904,2156.2425271603206
AlexanderPride,22.119876778754964,had,TRAP,0.2120716751544478,590.9530502905629,1837.5315546581994
AlexanderPride,24.018632948547275,bad,TRAP,0.28145972491270044,611.4097888873704,1882.768343864658
AlexanderPride,25.672229827583397,ban,TRAP,0.28145972491270044,656.8012943599777,1877.0223616619294
AlexanderPride,27.19498070009299,tan,TRAP,0.23665640733273108,664.0617029218918,1844.935345999667
AlexanderPride,29.00421171026071,heard,NURSE,0.22989100290189057,560.7919826905677,1575.1803003319833
AlexanderPride,30.705071159756276,bird,NURSE,0.31505664050124693,524.0086768729747,1553.157464190606
AlexanderPride,32.55985484431673,burn,NURSE,0.2940611074914443,553.2566896814595,1574.4460425588848
AlexanderPride,34.256322010687455,turn,NURSE,0.2656998839262741,615.6859434453402,1553.2364097783104
AlexanderPride,36.04770259673524,hard,START,0.32391502703372055,825.6134453196618,1166.0932973292954
AlexanderPride,37.76805297821447,bard,START,0.3895936500267325,782.8063130366647,1236.2066879453293
AlexanderPride,39.387106337254814,barn,START,0.33734929082774556,756.7941334601671,1191.9154217512826
AlexanderPride,41.13627911825208,tarn,START,0.31943693910238125,778.1196363585859,1183.6083354345199
AlexanderPride,42.51239614895344,hud,STRUT,0.11941567816911203,567.593028956847,1412.6848099699905
AlexanderPride,43.92746577772456,bud,STRUT,0.16121116552830017,725.1905067732607,1345.1943363477037
AlexanderPride,45.37102420745158,bun,STRUT,0.16867464541387278,762.0202113642412,1389.9451003886263
AlexanderPride,46.78205272362572,sun,STRUT,0.1925577810476966,740.9278050149153,1241.055899298488
AlexanderPride,48.080802879588425,hod,LOT,0.1479545097110062,552.5265299254338,1087.8257333725696
AlexanderPride,49.351833326468416,bod,LOT,0.19635084466320762,569.9544700780785,925.4610804206567
AlexanderPride,50.978894512322036,bon,LOT,0.20879561650806266,620.5932236064797,969.2308427446916
AlexanderPride,52.63180081918847,hood,FOOT,0.11200294660366694,512.4806589465754,1315.7819232868078
AlexanderPride,53.94474117926514,put,FOOT,0.07605138349631346,546.1202393881247,1272.5409180498207
AlexanderPride,55.305055949432806,foot,FOOT,0.09165174193293524,617.8463820441054,1296.315204475518
AlexanderPride,56.64334179369931,who'd,GOOSE,0.2601292087214162,333.8040688412728,1287.537786501055
AlexanderPride,57.927528585405625,boo'd,GOOSE,0.2843899639389633,357.84531029780976,1473.2758096447762
AlexanderPride,59.243876800147106,boon,GOOSE,0.2749552257988057,380.89362876282127,1436.1037037438214
AlexanderPride,60.736416840842786,soon,GOOSE,0.2277815350980248,416.6346285710785,1599.7852572993736
